ID,Rating,Votes,Title
20427187,8.8,276240,看见
01003479,9.2,43017,中国历代政治得失
01203426,9.0,40016,人间词话
01013267,9.4,14482,唐诗三百首
26576861,9.0,25138,最好的告别
01022238,8.2,58121,菊与刀
04729583,8.9,13360,野火集
03344676,8.1,42994,常识
01418180,8.9,10128,思维的乐趣
01021990,9.3,4128,唐诗鉴赏辞典
01003284,8.1,22271,退步集
03860856,8.1,22175,可爱的洪水猛兽
05040220,8.9,6295,蒋勋说红楼梦（第一辑）
26951584,8.6,8800,小说课
06712407,9.0,4615,巴黎评论·作家访谈Ⅰ
03547099,8.6,7555,贾想1996—2008
04282084,8.8,5568,论摄影
27024398,8.6,6988,阅读是一座随身携带的避难所
02005705,9.1,3191,唐宋词十七讲
03009033,7.8,21727,杂的文
01427825,8.5,6650,中国人史纲（上中下）
05913472,9.3,2337,蒋勋细说红楼梦
04908886,9.1,2917,金蔷薇
01016429,8.6,5586,毛姆读书随笔
03643270,9.2,2494,新千年文学备忘录
02295324,8.6,5308,地下乡愁蓝调
05401989,8.0,13280,自由在高处
02216583,8.8,3927,沉重的肉身
01027247,7.8,18690,丑陋的中国人
02381950,8.8,3719,论摄影
05355492,9.0,2686,蒋勋说红楼梦（第二辑）
04199761,8.3,6906,重新发现社会
05423803,8.2,7263,剑桥倚天屠龙史
10607793,8.6,3846,刀与星辰
03580750,8.2,6587,潜规则（修订版）
01829836,7.7,15125,品三国（上）
04156422,8.7,3188,时间的玫瑰
06003716,9.0,2180,蒋勋说红楼梦（第三辑）
01064707,8.7,3122,从卡夫卡到昆德拉
01203363,9.1,1800,中国小说史略
10956248,9.0,1931,蒋勋说红楼梦
04118599,8.3,4776,武侠，从牛A到牛C
01963786,8.5,3569,怎样鉴别黄色歌曲
01023709,8.4,3988,被背叛的遗嘱
25751763,9.3,1327,语言与沉默
02042907,7.8,10016,品三国（下）
01867642,7.6,14223,世界是平的
06398002,9.0,1785,蒋勋说红楼梦（第四辑）
01155722,8.8,2235,电影批评
01854151,9.2,1208,金圣叹批评本水浒传
01064734,8.3,3618,疾病的隐喻
06800763,9.0,1474,蒋勋说红楼梦（第五辑）
10739689,8.6,2276,伟大的电影
03124589,9.0,1394,人间词话
10796035,9.1,1215,中国古典诗词感发
