ID,Rating,Votes,Title
01088581,8.8,45253,浮生六记
01865089,8.4,51684,瓦尔登湖
01050339,7.7,77673,文化苦旅
01170801,8.9,9129,泰戈尔诗集
02256438,7.8,55994,素年锦时
01438816,9.1,5258,给青年诗人的信
01045352,8.8,7786,二十首情诗与绝望的歌
01762527,9.1,4765,飞鸟集
02988943,8.3,10678,青灯
01026036,8.6,6678,北岛诗歌集
01417385,9.0,3544,博尔赫斯诗选
01089049,9.4,2151,莎士比亚全集（全8册）
03009033,7.8,21727,杂的文
01050465,9.0,3397,浮生六记
01021709,8.6,4658,桃花扇
01020241,7.6,23825,千年一叹
01081144,9.3,1841,古詩源
01015104,9.4,1643,陶渊明集
01856285,7.2,47609,人生若只如初见
01076598,8.8,2857,宋诗选注
01039079,9.0,2168,写在人生边上 写在人生边上的边上 石语
01489494,8.5,4023,人与永恒
01034108,7.2,38502,零下一度
01974029,9.4,1311,坟
01002513,9.3,1429,詩經注析（全二冊）
01492634,8.3,4848,生活的艺术
01146537,9.5,1055,古文观止（上下）
01949674,8.1,5536,我纷纷的情欲
02267630,8.3,4107,凯尔特的薄暮
01449421,9.2,1319,古文观止
01437969,8.7,2288,聂鲁达诗选
01974027,8.9,1750,热风
02377241,9.5,905,世說新語箋疏（全三冊）
01083883,8.7,2034,席慕蓉经典作品
03124589,9.0,1394,人间词话
01829862,9.3,948,野草
02058479,9.1,1125,史铁生散文
01049215,7.4,10482,借我一生
01080350,9.1,885,春秋来信
01877096,8.1,2892,花间十六声
01543917,9.0,932,納蘭詞箋注
01862115,7.1,14171,当时只道是寻常
01081778,9.6,463,李太白全集（全三册）
01469028,9.4,536,文選（全六冊）
01045314,8.7,1089,诗词格律
01104698,8.7,1072,保罗·策兰诗文选
01039315,9.2,626,楚辭補注
01876129,9.2,564,饮水词
02382544,8.8,818,园圃之乐
02034127,7.2,7946,陌上花开缓缓归
03003182,8.8,803,博尔赫斯谈诗论艺
01077474,7.9,2344,舒婷的诗
03009778,8.6,947,纳兰词
01875581,7.7,2974,西班牙三棵树
01974023,8.9,646,华盖集
01459018,8.9,613,西厢记
01104711,8.6,806,卡瓦菲斯诗集
01545936,9.4,369,唐宋名家词选
03401286,8.2,1229,冷记忆1
01830613,8.8,606,朝花夕拾
01027880,9.5,300,全宋词（共5册）
01974033,9.0,465,且介亭杂文
01958312,7.5,2925,关于方文山的素颜韵脚诗
01882547,7.4,3408,寒·十八禁
01041585,8.5,755,板桥杂记
01065258,9.2,377,唐宋词选释
01960044,8.6,663,伊利亚随笔选
01168976,9.2,363,納蘭詞箋注
01161592,9.5,280,全唐诗（全二十五册）
01279925,9.1,368,李清照词
01310760,8.3,826,塔楼之诗
02984029,9.6,241,王右丞集箋注
01802061,8.9,424,诗经原始(上下)
01518339,9.4,266,李清照集笺注
01493631,8.5,613,影响的焦虑
01974018,8.7,479,准风月谈
01040681,9.5,232,先秦漢魏晉南北朝詩（全三冊）
03097837,8.0,993,汪国真经典诗文
01974031,8.9,363,而已集
01050951,8.2,741,米沃什词典
01850515,8.2,732,林徽因诗文集
01165637,8.4,545,特拉克尔诗集
01974038,8.6,413,南腔北调集
01119156,8.3,517,古代汉语（上）
01086447,9.1,241,湘行散记
01438914,8.4,450,奥州小道
01974039,8.9,274,华盖集续编
01949905,9.2,211,陳寅恪晚年詩文釋證
01095648,8.4,421,白香词谱
02969313,9.6,151,唐诗百话
01162576,8.9,257,玉臺新詠箋注（全二冊）
01410360,8.9,255,词学十讲
01202339,9.3,181,湘行集
01546037,9.3,180,唐宋词鉴赏辞典
01891934,9.0,227,唐诗选
01974025,8.2,476,三闲集
01974020,8.5,330,花边文学
03403514,6.8,3173,观音
05938988,9.3,160,词学十讲
03223679,9.6,128,唐宋名家词选
01036179,9.0,190,乐府诗选
01974019,8.9,204,且介亭杂文末编
01974042,8.6,260,二心集
02009640,8.9,199,纳兰词笺注
01084399,8.6,251,白雨斋词话
01076533,7.9,499,沉沦
02336299,9.4,129,樊川文集
02031571,9.1,148,唐诗小札
01974032,8.4,266,伪自由书
03258749,9.4,118,阳明先生集要
01714304,9.6,102,李白集校注（全四冊）
25809010,9.3,125,宋词鉴赏辞典（新一版）
01891556,9.2,130,唐诗别裁集（全二册）
02349189,8.8,173,近三百年名家词选
02081995,9.2,125,再生缘（上、中、下）
01288128,8.2,291,再别康桥
03787897,9.7,89,脂砚斋甲戌抄阅再评石头记
01292422,9.4,108,唐诗三百首
01291303,8.5,209,中国诗史
01561280,9.3,110,唐诗百话
01545948,9.5,96,李白集校注(全二册)
01875179,9.0,136,韦庄集笺注
01137650,9.4,102,柳宗元集（全四冊）
01084389,8.9,143,汉魏六朝诗选
01045806,9.1,122,屈原集校注（全二冊）
01974037,8.6,173,且介亭杂文二集
01426180,9.1,117,唐宋词选释
02340991,8.7,158,汉花园青年诗丛(全六册)
01374555,8.7,155,十三朵白菊花
01139984,8.9,128,宋词三百首
01427634,8.5,176,耳证人
01172079,9.2,102,初学记（上下）
03122425,9.1,107,唐人绝句精华
02377227,8.9,117,汉魏乐府风笺
01488649,9.6,73,人间词话.人间词
01949510,7.6,382,江湖外史之港片残卷
01742044,8.9,113,孟浩然诗集笺注
02377231,9.4,79,谢康乐诗注鲍参军诗注
01803096,8.1,212,开元天宝遗事 安禄山事迹
03054332,9.6,68,黃節注漢魏六朝詩六種
10532829,8.7,122,唐诗综论
30473223,9.8,59,六朝文絜笺注
01545945,9.2,85,王右丞集箋注
01082680,8.5,142,暮晚
01084308,8.1,198,朱自清散文集精选
01033348,8.7,118,唐宋传奇选
01046378,8.4,150,莎士比亚十四行诗集
01036762,8.7,117,宋诗选注
02348411,9.0,93,诗人玉屑（全两册）
02265068,9.4,71,欧根·奥涅金
01223806,8.9,97,楚辞选译
19964713,9.0,90,含英咀华
27095354,9.1,84,老树(作品的背后)
02311732,7.8,236,恶之花
03285434,9.1,77,唐宋词格律
01059696,8.9,86,陈寅恪诗集附唐篔诗存
03746931,9.2,70,先秦诗选
20556040,9.5,58,阮籍集校注
03882379,9.3,64,李白诗选
02052461,8.4,117,八代诗史
02361802,9.0,75,樊川诗集注
01138115,8.1,147,W.S.默温诗选（上.中.下）
06105381,9.3,59,唐五代两宋词选释（全二册）
26576620,7.7,204,桃之夭夭
02310495,9.3,58,唐宋八大家文钞
04727175,8.8,80,忏慧堂集
01545956,9.2,59,楚辭今注
02243124,9.3,55,历代文选
01050466,8.2,117,雪涛小说（外四种）
26847580,9.0,65,引譬连类
01666406,7.1,334,尝试集
01949807,8.1,116,雷平阳诗选
03327174,8.6,78,想像的動物
03175596,7.8,149,烟火人间
02330080,9.5,44,王右丞集笺注
05379839,8.4,88,唐宋词通论
03093433,8.7,70,柳河東集（全二冊）
04834959,9.5,43,古诗考索
04221631,8.7,69,云南记
03250183,7.8,141,童年忆往
01752733,8.0,116,升沉不过一秋风(同一首诗3)
03529511,8.3,90,骑字飞行
01275465,8.5,77,宋诗一百首
01872754,7.6,156,别了，我的书
10354150,9.1,49,汉魏六朝文选
03118232,9.0,52,李贺诗集
01545939,8.8,58,近三百年名家词选
01547717,8.6,66,李白诗选评
01124470,8.4,76,灵飞经笔法及其特点
02208876,9.1,48,宋词赏析
04937492,8.2,85,林徽因文集
01985838,8.5,68,唐人七绝诗浅释
01077862,7.3,185,爱眉小扎
01021224,8.7,56,卢照邻集校注
04240153,8.8,52,六一诗话 冷斋夜话
01152748,9.5,35,山谷詩集注（全二冊）
03403041,9.0,45,内藤湖南汉诗文集
01423197,9.2,40,李商隐诗
04262788,9.2,40,清代诗文集汇编
02248647,9.0,44,阮步兵咏怀诗注
04708688,8.0,87,竹林七贤
03882375,9.0,43,杜甫诗选
01144373,8.3,67,李商隐诗选评
01543907,8.3,67,王维孟浩然诗选评
04708686,8.5,58,三曹
01948755,9.0,42,古诗今选
02027159,9.0,41,唐宋词选
01223805,7.8,94,诗经选译
23018283,8.9,43,闲情偶寄
01104705,7.4,133,安东尼奥·马查多诗选
02032766,7.9,84,裴多菲诗选
01445773,9.3,33,中国辞赋源流综论
07916126,7.8,87,兄妹译诗
01930931,8.7,42,江格尔
02042458,9.0,35,笔记文选读
03646307,9.0,35,春秋左传词典
02152945,8.8,39,天下才子必读书
01525028,9.3,29,泰戈尔诗选
01047579,7.8,71,马尔克斯散文精选
01465542,8.7,38,唐宋词欣赏
01749572,9.0,32,唐五代两宋词选释
26790803,7.2,120,喜马拉雅诗篇
03085871,8.7,37,东坡集
04142243,8.8,34,戏文概论 谜史
26418004,8.9,32,林语堂英译诗文选：东坡笔意
01840757,8.0,56,水渍
01265203,7.9,60,斯卡斯迷宫
24843469,7.9,60,宋词中的大宋
02159835,8.3,45,李白诗选注
01394033,8.5,39,普里什文随笔选
01029088,8.5,38,唐诗画谱
10862963,8.0,50,舒婷文集
01548156,8.5,36,柳永集
03888462,8.6,33,嶺雲海日樓詩鈔
01547501,8.4,37,嘉祐集箋注
01024939,8.1,44,陶渊明谢灵运鲍照诗文选评
01836629,8.3,38,范石湖集
01137537,8.0,46,沈佺期宋之問集校注（全二冊）
02989075,9.5,20,诗境浅说
04133054,7.7,56,水经注
02216595,8.5,32,一直向北
11628968,8.0,43,文艺常谈
04002344,8.7,28,谈谈学习古代汉语
03146030,8.4,33,徐志摩作品精选
02027416,8.3,35,古代汉语（上下）
20473530,8.2,37,中国诗体流变
18606714,8.4,32,诗经通解
01137652,8.0,41,王船山詩文集（全二冊）
06013254,8.0,40,储安平集
03182324,9.1,21,唐五代两宋词简析
03206692,8.9,23,读词偶得
01543891,8.4,29,谢脁 庾信及其他诗人诗文选评
01337698,9.5,17,书信用语词典
01463647,7.8,42,白玉苦瓜
03112442,7.9,39,且听风吟
05375945,8.5,27,古代散文十五讲
01144372,8.7,24,柳宗元诗文选评
01659698,8.7,24,淮海集箋注（全三冊）
01661105,8.1,33,王安石诗文选评
03223943,8.8,22,杜甫诗选注
01098092,8.4,27,宋词举
04072710,9.1,19,楚辞选注
10773003,9.1,19,素月楼联语
26632600,7.3,57,顾城·故城
02003232,9.3,17,古诗歌笺释三种
05043323,9.3,17,孟郊诗集校注
01547332,8.9,20,古诗源
04133773,8.9,20,自己的园地 雨天的书
03010956,9.4,16,李清照集
04321610,8.5,24,古诗笺（全二册）
01429831,7.3,53,水远山长
06011896,7.7,39,复堂词
01706634,9.2,17,中华散文精粹
25728847,6.9,74,我不要我的人生，再错过这美好
01337799,8.5,23,唐宋散文精选
02294395,8.5,22,屈賦通箋 箋屈餘義
03882378,8.5,22,白居易诗选
03888467,7.4,44,詩經今注
01005752,9.3,15,陶渊明全集(附谢灵运集)
03167720,8.6,20,寓林折枝(上、下册)
03214021,8.6,20,唐诗选注（上下册）
03708159,8.4,22,徐祯卿全集编年校注
02339367,8.2,24,启功行书技法
03278405,8.3,22,陶渊明诗文选注
01287263,7.7,30,宋诗精选
26926599,9.2,14,文则 文章精义
01411949,8.5,19,唐宋词精选
03194849,6.9,54,泪眼看清宫
19934147,5.8,199,花开半季 情暖三生
06844017,8.3,20,广箧中词
03005985,8.2,21,元散曲选注
04708691,8.1,22,小李杜
03622587,8.2,20,唐人绝句选
03037158,9.1,13,汉文典（修订本）
35065582,8.7,15,亦狂亦侠亦温文：龚自珍的诗文与时代
04168640,8.2,19,陶弘景集校注
01313647,8.3,18,金元明清词精选
01545947,7.9,22,谭元春集
01150695,7.8,23,清诗流派史
20559378,7.8,23,诗馀画谱
01551933,8.6,15,欧阳修选集
24851748,8.0,20,青春正能量
01079123,7.9,21,高适岑参诗选
03018135,8.3,17,鱼目集
02158596,8.4,16,吳漁山集箋注
10582087,6.9,41,最美不过林徽因
06800786,8.0,19,司空曙詩集校注
03534586,8.8,13,诗经直解（上、下）
01661467,9.2,11,王维新论
01014940,7.7,21,蘇轍集（全四冊）
03249992,8.8,12,鐵函心史·延平二王遺集
02069622,7.8,19,同照阁诗集
01211452,8.0,17,元明清散曲精选
01211472,8.0,17,汉魏六朝文精选
04223644,8.5,13,翁同龢詩集
04142180,8.3,14,宋元戲文輯佚
01011831,8.0,16,陶渊明集
04708689,7.6,19,初唐四杰
02270847,7.9,15,安雅堂全集
01029911,7.6,17,欧阳修诗词文选评
01734358,7.7,16,偶斋诗草（全二册）
03844477,7.9,14,后村詩話
05377641,7.6,16,历代笔记选注
03882371,6.9,21,李清照诗词选
01659297,7.6,13,韩愈诗文选评
01044725,8.1,10,陶渊明集全译
06522480,7.9,10,梁宗岱选集
01658818,6.7,19,辛丙秘苑
01018823,6.4,22,点点香魂清梦里
26596638,5.0,27,从奥登到叶芝：30诗选的批判性分析
01140197,0.0,10,龚自珍选集
03271479,0.0,10,莱蒙托夫诗文选
03991977,0.0,10,先秦诸子散文选译（二）
01493279,0.0,11,中华散文精粹（当代卷）
06982870,0.0,14,文言读本
