ID,Rating,Votes,Title
02567698,8.8,375325,三体
06709783,9.0,26433,浪潮之巅
01394364,8.8,17670,银河系漫游指南
10750155,8.7,10769,数学之美
04010196,8.1,25031,世界因你不同
26582822,8.2,6549,重新定义公司
20429677,7.5,16517,大数据时代
27145016,8.9,1406,创造自然
01427679,7.5,10399,做最好的自己
04902683,8.7,1237,找死的兔子
26608585,8.3,1632,重新定义团队：谷歌如何工作
33385217,8.4,1278,全球科技通史
03932520,7.5,3659,免费
27132072,7.4,3802,OKR工作法
03360555,7.4,3602,秋叶原@DEEP
04237182,8.2,924,世界因你不同
27081128,8.5,603,万物：文明
01011731,9.0,339,信息规则
04789228,8.7,384,In The Plex
26837959,8.2,631,设计冲刺
30396635,7.5,1231,这就是OKR
26008422,8.0,618,How Google Works
01474667,7.9,671,搜
26611940,8.8,242,创新者的处方
26645277,7.8,587,浅薄
01879670,7.3,1090,撬动地球的Google
33430445,8.3,289,谷歌方法
25879027,7.8,456,谷歌和亚马逊如何做产品
26747250,8.3,247,开发故事创意（第2版）
03129355,8.1,207,憨夺型投资者
01548716,7.9,205,打败庄家
20285243,9.1,75,聪明教学7原理
21329264,7.1,470,谁是谷歌想要的人才
26732447,8.5,96,Sprint
26368060,7.9,140,创业，生与死
03352459,7.2,288,星球Google
35002954,7.6,138,成就 : 优秀管理者成就自己，卓越管理者成就他人
05988607,6.7,354,阅读的未来
25975461,7.6,114,部落的力量
27009622,7.2,170,被误读的创新
33479229,7.3,146,互联网四大
05377414,7.2,157,榨干百度谷歌
04714009,6.5,341,谷歌小子
03211686,6.8,207,Google是如何控制世界的
26671649,6.0,600,Google工作整理术
26373277,7.4,90,快思慢想:那些不可思议的创意本能
30344917,7.7,68,快乐算法
01346353,7.2,101,Google成功的七堂課
30318590,6.4,250,后谷歌时代:大数据的衰落及区块链经济的崛起
01103928,8.5,34,英语史
06963066,9.1,24,Google總部大揭密
01396503,6.5,162,Google成功的七堂课
01428958,6.1,243,搜主义
04935258,8.9,19,实分析
26336607,8.2,26,定位屋
24852528,6.4,103,数字战争
06047744,6.9,59,Android技术内幕
26855595,7.7,30,重新定义并购
33476474,7.7,29,重新定义团队
25923753,7.6,30,谷歌化的反思
26761368,7.8,20,拯救雅虎：玛丽莎·梅耶尔传
34839866,5.9,105,谷歌时间管理课：3个月跃迁高效能人士
27621055,6.8,37,谷歌的断舍离：互联网企业的破坏式创新
24760728,7.2,25,Mindwise
33464429,8.5,11,重新定义公司
30319682,7.3,15,战略高地
34998454,6.9,15,谷歌的故事
21212802,6.4,21,The New Digital Age
26683032,6.7,15,谷歌创业帮
30279213,6.6,15,Life After Google
06808522,5.9,25,寡头战争
25894718,6.9,12,别再羡慕谷歌
06259411,6.1,17,乔布斯革命
11628345,6.9,10,平台战争
26390745,4.8,44,DT时代：从“互联网+”到“大数据×”
10559838,5.6,12,谷歌之神
01388491,0.0,12,心理投射技巧分析
