ID,Rating,Votes,Title
03079029,8.7,12315,大秦帝国
10779650,9.2,4325,追忆似水年华
01316622,8.3,15482,诛仙1
04038673,9.0,5417,络新妇之理（下）
04038672,8.9,6155,络新妇之理（上）
03162513,8.4,12452,魍魉之匣（上）
04009552,7.5,67283,幻夜
03928882,8.7,7686,奇鸟行状录
01083433,9.3,3100,悲惨世界（全三册）
03155622,8.1,15822,庆余年·壹
30224833,8.5,8148,圣殿春秋
01316623,8.4,8983,诛仙2
01851058,9.1,2952,约翰·克利斯朵夫（共四册）
05939312,8.2,9445,超·杀人事件
03522694,8.6,4871,史上第一混乱·第一季神仙预备役
05367304,8.4,6145,城邦暴力团（上）
04212812,8.6,4611,紫川（全五册）
01410145,8.2,7703,诛仙3
01420794,8.1,8991,诛仙4
01433726,8.0,6997,诛仙5
01204878,9.1,1475,超长篇机器猫哆啦A梦1
01753922,9.3,1137,超长篇机器猫哆啦A梦14
26734228,8.7,2206,鬼吹灯全集
01082573,9.1,1347,英雄志·第二部（全三册）
02221889,8.1,4861,无限恐怖
01770668,7.9,6653,诛仙6
01595892,9.3,1047,超长篇机器猫哆啦A梦4
04830263,9.2,1109,追忆似水年华（第一卷）
03286829,7.9,5890,脑髓地狱
01595897,9.2,1076,超长篇机器猫哆啦A梦12
01156994,8.7,1857,永远是孩子
10539804,8.6,1851,彩画集
01921362,7.7,6678,诛仙7
06782521,7.5,8849,凤囚凰
01595896,9.1,926,超长篇机器猫哆啦A梦10
01595894,9.2,822,超长篇机器猫哆啦A梦6
03037790,8.2,2516,小楼传奇
03705820,7.1,12711,斗罗大陆（全14卷）
01595903,9.0,727,超长篇机器猫哆啦A梦17
10494248,8.2,1730,阴摩罗鬼之瑕（下）
03347929,8.7,879,德川家康
01437683,7.9,2296,黑暗馆不死传说
10485010,8.0,1872,阴摩罗鬼之瑕（上）
03787195,7.5,3810,黑暗坡食人树
27055137,8.9,610,地中海史诗三部曲
01001356,9.3,414,世界文明史(全24册)
30134582,8.4,968,人世间（套装共三册）
02156810,8.9,445,魍魎之匣（下）
06856772,9.4,277,哈利·波特精装全集（套装全7册）
06793874,8.3,735,武道狂之诗（卷一 之 风从虎•云从龙）
02136038,6.8,6947,诛仙8（大结局）
02156807,8.8,367,魍魎之匣（上）
06793881,8.5,468,武道狂之诗（卷二 之 蜀都战歌）
10515231,7.5,1479,献给虚无的供物
04922017,6.8,4528,斗破苍穹 1
02040795,7.5,1284,佛本是道1
07916085,7.7,936,泪流不止（上、下）
10618121,8.0,628,扮鬼脸
10763925,8.2,473,恐怖的人狼城·第四部：完结篇
33429491,8.1,499,昆仑
01340870,8.6,297,發條鳥年代記（第三部）刺鳥人篇
02356223,7.9,617,鴉
05380419,7.3,1376,匣中失乐
06713332,8.0,514,佣兵天下全集
05326848,7.4,1095,龙卧亭杀人事件（下）
06904923,8.2,402,武道狂之诗（卷三 之 震关中）
05326847,7.3,1157,龙卧亭杀人事件（上）
10773193,8.2,354,武道狂之诗（卷四 之 英雄街道）
01370137,8.4,254,腦髓地獄
05996638,8.1,313,卡徒全集（套装共8册）
10491582,7.5,562,恐怖的人狼城 第一部·德国篇
25245712,7.4,594,黑暗塔1：枪侠
10527656,7.5,464,恐怖的人狼城 第二部·法国篇
22606954,8.0,227,武道狂之诗（卷七 之 夜战庐陵）
01963184,8.1,197,恐怖的人狼城·第四部：完結篇
01364396,7.7,291,黑暗坡的食人樹 
01939258,8.3,160,殺人暗黑館 (上)
06435773,6.8,932,异位
01939260,8.3,140,殺人暗黑館 (下)
06786716,9.1,72,波西.杰克逊系列-全五册-经典珍藏
10618085,7.6,244,尸鬼1
01958549,7.7,203,恐怖的人狼城·第一部：德國篇
04169421,7.4,280,驻京办主任（全四册）
10618090,8.2,107,尸鬼5
10763927,6.8,419,恐怖的人狼城·第三部：侦探篇
10618088,8.0,106,尸鬼4
10618086,7.8,122,尸鬼2
10618087,7.7,118,尸鬼3
24538713,6.7,299,女王国之城
06084773,8.1,66,红轮（第二卷 全三册）
02067547,6.9,175,黑死館殺人事件
01865876,8.8,30,宛如飞翔（二）
06799301,7.8,56,淚流不止
30123387,6.2,291,芸汐传奇
05989870,6.1,306,魔术王事件（第二部）
02361191,7.3,66,眼之壁
10758702,7.9,37,平家物语3（宫尾本）
05989869,5.7,320,魔术王事件（第一部）
03518778,8.6,17,天国演义（上下）
03147105,6.3,91,魔術王事件
05415148,5.3,309,双面兽事件（第一部）
11442730,6.5,53,黑暗塔
05447438,5.3,278,双面兽事件（第二部）
25737644,6.9,32,神墓47（完）
11514027,6.3,31,電影改編漫畫版哆啦A夢 大雄的人魚大海戰
10343026,7.1,12,兩個祖國 中
