ID,Rating,Votes,Title
01007305,9.6,291326,红楼梦
01008145,8.9,372572,围城
01200840,9.0,251406,平凡的世界（全三部）
01082154,9.1,190801,活着
01061118,9.1,86506,活着
03995526,8.6,185213,目送
01017143,8.5,200892,不能承受的生命之轻
04238362,8.6,126797,送你一颗子弹
01064275,8.4,155635,老人与海
01858576,9.3,31341,一九八四
03608208,8.5,120393,牧羊少年奇幻之旅
01040771,8.2,206811,达·芬奇密码
01046265,8.0,317940,挪威的森林
10517238,9.0,42315,平凡的世界
03523041,9.1,32238,平凡的世界（全三册）
01066462,8.4,103238,向左走·向右走
03813669,8.6,69122,民主的细节
01022060,8.2,146120,狼图腾
01082406,8.9,38696,黄金时代
01775691,8.4,81348,少有人走的路
01082334,8.1,144828,穆斯林的葬礼
01036490,8.8,34557,万水千山走遍
03604517,9.3,14974,撒哈拉的故事
03261600,9.2,16419,人生的智慧
02035171,9.0,20029,人生的枷锁
03803820,8.4,51382,人生
24380577,9.1,15740,平凡的世界
24859822,8.6,34278,无人生还
02068249,9.1,15391,温柔的夜
26295448,8.6,21898,你一生的故事
01084165,9.0,11422,平凡的世界
02256039,7.8,92460,杜拉拉升职记
03426869,7.8,80131,三生三世 十里桃花
10763902,7.7,87529,偷影子的人
04237548,9.3,4723,平凡的世界（全三册）
01200842,8.6,11190,尘埃落定
01084080,9.1,5290,平凡的世界（全三册）
02339950,7.7,37705,被窝是青春的坟墓
02036561,8.4,9410,城堡
03284547,9.1,3307,文心
10562233,8.6,6130,人生
04169424,7.9,18242,蛙
04267149,8.5,6323,人生
06835758,8.6,4901,平凡的世界
10569619,8.4,5835,自由
01015547,9.1,2119,平凡的世界(全三册)
27186298,9.1,2068,平凡的世界
03393056,8.2,6613,流动的盛宴
01793990,9.0,2113,早晨从中午开始
04746554,7.9,10036,年华是无效信
01035862,8.5,3912,人生
01914078,7.6,13705,三重门
11607261,8.6,2802,旧制度与大革命
10601137,7.6,12828,你永远都无法叫醒一个装睡的人
24540864,6.9,55199,第七天
04212607,7.6,10516,有味
26681991,8.6,2252,鳄鱼街
01067049,8.8,1659,孩子，把你的手给我
24875416,8.3,3090,生命最后的读书会
10597811,8.5,1479,早晨从中午开始
04843178,7.7,4466,北京，北京
21778349,8.3,1739,苦水音乐
01596957,9.2,482,平凡的世界
05419233,9.3,437,叔本华论道德与自由
04846035,7.5,3563,干法
01438836,9.0,536,平凡的世界
04196774,8.3,1083,看电影的艺术
01037951,8.2,1212,食指的诗
24841290,8.3,1048,美国最高法院通识读本
04275057,8.7,594,早晨从中午开始
01641034,8.6,595,路遥全集
22788820,8.6,524,白轮船
01705571,8.3,663,人生
01423192,9.2,261,路遥文集(全5卷)
06060491,8.0,859,现代中国的历程
24845006,9.1,276,有生之年非听不可的1001张唱片
26582987,8.6,399,隐世之国  鹿菏水彩私享绘
01057645,8.4,470,大学
04246084,8.7,337,Delivering Happiness
03669596,8.0,640,岁月与性情
10472051,8.4,396,伊豆舞女
01801809,8.4,362,路遥精选集
03941821,9.1,187,平凡的世界第二部
24699866,7.5,894,反对完美
02379437,7.2,1360,雪肌
20493284,7.5,765,寻欢者不知所终
07058051,7.7,552,异事录3
34953363,8.9,164,人生
20259356,8.4,239,平凡的世界 第一部
26282478,8.0,321,路遥传
20259384,9.2,110,平凡的世界 第二部
05264093,8.1,270,守望的距离
25895918,8.2,244,1661，决战热兰遮
20259386,8.9,124,平凡的世界 第三部
11583990,8.8,119,经济学的思维方式（影印第12版）
24852220,8.3,175,半间灶披间
24380578,8.7,123,早晨从中午开始
10594777,7.6,343,蚂蚁的眼泪
03747997,8.9,88,平凡的世界（上中下）
26966356,9.0,73,《平凡的世界》连环画(套装共2册)(附珍藏版书票)
25832112,7.3,319,你好，有故事的人
04267151,7.5,250,一生中最高兴的一天
01223750,7.0,419,创业史（全二册）
04137515,7.1,343,峰与谷
24380576,8.5,86,一生中最高兴的一天
23011195,7.2,285,浪人
01577762,9.0,55,人生
24380579,8.5,76,人生
22746581,8.5,68,平凡世界里的路遥
06391215,8.6,62,大西洋的跨越
02352278,8.2,74,人生
10472584,8.3,61,Race Against the Machine
02973663,7.0,175,万劫
03265341,7.2,136,硅谷禁书
34467854,8.4,42,路遥的时间
20366716,8.6,35,人生
04095700,8.9,28,平凡的世界 第二部
34429116,8.0,46,人生路遥
25814658,7.3,80,晨钟响彻黄昏
01567960,7.9,42,二十一集电视连续剧 梅花烙 琼瑶作品 梅花三弄 6DVD(DVD)
10345144,6.4,131,明年今日谁还等待
10511272,7.8,33,中国民间信仰研究述评
02318000,8.1,27,平凡的世界(共3册)(精装) (精装)
25766549,7.6,34,莫忘爱的初衷
26342310,6.6,65,只因单身在一起
01272854,7.8,24,路遥全集
26707660,7.5,29,柳青传
01396357,8.1,19,山东民间秘密教门
03500897,8.1,19,平凡的世界
26748263,8.4,16,路遥新传
11525187,8.4,14,平凡的世界
03376233,6.7,36,80后
25828754,6.8,26,路遥纪事
30396410,7.5,13,路遥论
01838889,7.6,12,路遥研究资料
04162229,6.4,14,断裂地带的精神流亡
07061073,6.1,11,道教与民间信仰
20482620,4.7,25,我与首富梁稳根
