ID,Rating,Votes,Title
01041482,8.9,143763,万历十五年
01795079,9.2,36603,乡土中国
01949338,8.9,53040,明朝那些事儿（贰）
04242172,8.1,230398,天才在左 疯子在右
01203426,9.0,40016,人间词话
20440644,9.1,33979,文学回忆录（全2册）
01034282,8.8,46654,时间简史
07163250,9.2,21830,明朝那些事儿
03009821,8.8,36683,明朝那些事儿（伍）
26953606,9.1,18809,人类简史
03026879,8.8,28936,爱的艺术
01970428,8.8,28882,激荡三十年（上）
01786387,8.6,39609,影响力
10471333,9.0,19517,叫魂
01046492,9.3,12142,國史大綱（上下）
26943161,8.4,41442,未来简史
01004821,8.7,22712,理想国
01021273,8.9,15251,中国哲学简史
01083762,8.7,20487,人类的群星闪耀时
01056315,8.8,17439,总统是靠不住的
02380307,8.8,17228,激荡三十年（下）
10583099,9.1,10630,全球通史
02326403,8.9,13822,认识电影
05366248,8.2,44292,你一定爱读的极简欧洲史
06021440,8.7,18587,黑客与画家
01277981,8.8,13601,社会契约论
01008189,8.9,11519,西方哲学史（上卷）
05375620,8.7,15223,失控
01060774,8.7,14597,君主论
20463108,8.3,26236,观念的水位
25961458,9.3,5230,大问题
01115748,9.2,5814,故事
01048007,8.2,26142,高效能人士的七个习惯（精华版）
05408882,9.0,6197,公正
11445548,8.5,12512,自私的基因
01025723,8.3,15891,潜规则
06952036,9.1,4680,对伪心理学说不
01036541,8.8,6786,疯癫与文明
04953695,7.8,31692,拆掉思维里的墙
04822685,9.2,3285,编码
01071227,9.0,4032,大问题
27603501,8.8,4922,奇迹男孩
01292405,8.6,6482,自私的基因
03284547,9.1,3307,文心
05038752,9.2,2891,谈美
02747765,9.0,3616,中国古代文化常识
10439064,8.9,4011,发现之旅
10747883,8.0,15268,怦然心动的人生整理魔法
01504957,8.6,5752,学会提问
25986341,8.1,11496,万万没想到
03420606,8.7,4531,正面管教
20366368,9.1,2266,公正
26658395,9.2,2015,政治学通识
24749465,7.4,31526,断舍离
25902222,8.9,2774,文明之光（第二册）
06310946,9.1,2130,公正
01024846,9.2,1825,所罗门王的指环
04312810,8.6,3786,裸猿
26708306,8.6,3747,北欧，冰与火之地的寻真之旅
01076598,8.8,2857,宋诗选注
01084257,8.9,2513,别闹了，费曼先生
06749832,9.0,2222,复杂
02983683,9.3,1533,经济学
05214656,9.3,1453,1984
01040481,8.8,2532,全球通史
03055719,8.7,2809,经济学的思维方式（第11版）
26292964,8.6,3161,世界小史
04899351,8.3,4632,一个广告人的自白
01193621,8.5,3390,决策与判断
26588758,8.9,2039,全球通史
33477229,9.0,1721,上帝掷骰子吗？
26817324,8.7,2464,傅雷家书
11505704,9.1,1520,The Ph.D. Grind
27015443,9.4,1097,西南联大英文课
05916234,7.6,12697,番茄工作法图解
05290534,7.7,9723,为了报仇看电影
26905274,8.2,4295,海错图笔记
30191803,7.5,13783,半小时漫画世界史
02125973,9.4,982,心理学导论
02124114,8.8,1869,怎样解题
01905742,8.8,1837,金枝（上下册）
27139938,8.7,2066,哲学·科学·常识
01085366,9.2,1129,组织社会学十讲
26364209,8.0,5133,那些古怪又让人忧心的问题
01056867,9.1,1235,政治学
26584286,8.7,1941,大学之路（套装）
03071402,8.6,2196,物理世界奇遇记
06780545,9.0,1367,中国哲学史
30144978,8.0,5071,见识
27056409,7.7,8058,深度工作
01065142,8.5,2412,欧洲文明十五讲
01135754,8.1,4120,你的灯亮着吗?
22806583,8.7,1839,国家的常识
27591495,8.6,2033,万古江河
01274953,8.9,1413,伦理学
01045246,8.6,2005,西方文学十五讲
26747208,8.0,4475,优秀的绵羊
04246032,9.4,800,西方哲学史讲演录
01944205,8.9,1307,追寻记忆的痕迹
34842793,8.8,1454,薄世宁医学通识讲义
01030526,8.9,1224,中国文化史导论
05299857,9.0,1072,国家记忆
01084435,8.4,2177,策略思维
02975972,8.6,1676,文学理论入门
05283699,7.6,7182,郎咸平说：我们的日子为什么这么难
01270509,8.9,1168,中国史学名著
27117578,9.1,939,沟通的艺术（插图修订第15版）
03260902,8.6,1644,智慧书
21966353,7.6,6794,贫穷的本质
26895988,8.0,3574,学习之道
30176572,9.4,675,大问题（第10版）
01965025,9.2,819,艺术：让人成为人
25829287,8.9,1116,数学
05263454,8.5,1760,当代占星研究
01024785,9.1,886,西方现代思想史
11528220,8.3,2259,系统之美
01264104,8.6,1512,夜航船
02005481,9.0,949,法律之门
27104764,8.3,2069,经济学通识课
01428117,8.9,974,普通生物学
02980795,7.7,4725,内向者优势
01048014,8.5,1522,外国古建筑二十讲
04934845,9.0,851,西方哲学史（上卷）
26852425,8.7,1164,什么是科学
03550249,8.8,1033,科学哲学
01995655,9.2,645,演员自我修养(第一部)
20273773,8.1,2258,人生的意义
27001165,9.0,765,地球之美
34897115,9.0,764,美与暴烈
02048893,7.8,3384,财报就像一本故事书
27025626,9.1,682,君主论
25870757,8.3,1671,现代日本
10435419,8.8,922,尼采
02347492,8.2,1862,蒙曼说唐：武则天
01626392,8.4,1437,女士品茶
04124834,8.6,1126,冬吴相对论
22638869,8.6,1123,耶路撒冷三千年
01867208,9.1,658,政治学
27121473,9.0,725,大英博物馆世界简史
20501422,8.6,1094,文学理论入门
02130743,9.1,641,离散数学及其应用（原书第5版）
26334500,8.3,1561,说中国
34988734,9.1,619,走出唯一真理观
26604224,8.9,751,经济学的思维方式
06429781,9.0,669,诡辩与真相
26581735,8.8,816,黑格尔
10491608,8.5,1126,神祇、陵墓与学者
05276620,7.8,2683,什么都没有发生
01073535,9.1,559,人与自我
33474750,9.2,507,浪潮之巅（第四版）（上下册）
05214612,8.2,1475,福柯
06687032,8.7,814,经验的疆界
24532503,8.2,1458,佛学概论
