ID,Rating,Votes,Title
01019568,9.3,122059,三国演义（全二册）
01255625,9.1,102640,天龙八部
01085860,9.0,100581,基督山伯爵
01002299,9.0,88430,笑傲江湖（全四册）
01255624,8.9,80232,神雕侠侣
01044547,9.0,64635,射雕英雄传（全四册）
01043815,8.4,151839,骆驼祥子
01040771,8.2,206812,达·芬奇密码
01212893,8.8,45465,鹿鼎记（全五册）
01070851,8.6,49392,倚天屠龙记(共四册)
01789837,9.0,18078,射雕英雄传
01559310,9.0,12554,鹿鼎记
01919201,8.4,32757,七夜雪
01789841,8.7,17310,倚天屠龙记
01089512,8.7,16975,陆小凤传奇
01422833,8.7,16762,多情剑客无情剑(上、中、下)
02218216,9.5,4920,金庸作品集
01082582,9.0,8324,天龙八部（全五册）
03532347,9.6,3352,金庸全集
01212910,9.3,4606,笑傲江湖（全四册）
01089517,8.4,15209,绝代双骄（全三册）
01089521,8.4,13808,楚留香传奇
01212908,9.1,4979,神雕侠侣（全四册）
30366217,8.5,11601,无羁
01430909,8.6,9806,昆仑1
06969074,9.4,2982,天龙八部
01456692,8.7,7235,金瓶梅
01337303,9.0,4744,笑傲江湖
04832584,9.3,2992,笑傲江湖
01082271,9.1,3796,射雕英雄传（全四册）
01490048,8.7,6023,昆仑6
01438712,8.6,5683,昆仑4
01438710,8.6,5594,昆仑3
01455053,8.6,5547,昆仑5
01063624,8.8,4121,鹿鼎记（全五册）
01109968,8.7,4706,英雄志（全三册）
01119528,8.0,13529,高老头
10466059,9.1,2524,射雕英雄传（全4册）
01777678,9.4,1753,笑傲江湖
01076045,7.7,19941,连城诀
05367304,8.4,6145,城邦暴力团（上）
01082319,8.8,3416,倚天屠龙记（全四册）
05423803,8.2,7263,剑桥倚天屠龙史
01793132,7.6,20270,白马啸西风
01068308,7.6,20016,雪山飞狐
01052380,7.7,13680,飞狐外传
01337296,8.9,2259,射鵰英雄傳
01337300,8.8,2511,神鵰俠侶
04118599,8.3,4776,武侠，从牛A到牛C
01401231,9.1,1476,鹿鼎记
04053575,9.2,1320,射雕英雄传（套装共4册）
01683754,9.1,1461,神雕侠侣（全四册）
10466761,8.9,1819,倚天屠龙记
01040924,8.2,4431,金粉世家（上下）
04835660,9.4,1023,神雕侠侣（套装共4册）
03033668,7.8,7621,闪开，让我歌唱八十年代
01337302,9.1,1302,天龍八部
04053593,9.1,1270,鹿鼎记
01789842,7.4,13156,侠客行
01212890,8.1,3977,连城诀
01271494,8.7,1728,倚天屠龙记（全四册）
01337292,8.4,2441,倚天屠龍記
24324704,8.1,3683,剑桥简明金庸武侠史
04116115,9.0,1165,神鵰俠侶
01442035,7.8,5020,连城诀
01667254,7.8,4675,飞狐外传（上下册）
01810556,9.2,798,天龙八部（1-5）
01058956,7.4,9045,碧血剑
01483923,7.8,4547,雪山飞狐
