ID,Rating,Votes,Title
02267883,8.0,15433,色，戒
06025373,8.1,5978,风起陇西
26046043,8.4,2519,人类灭绝
04870150,8.3,2713,44号孩子
02359687,7.9,4827,堕落天使
02279868,7.7,6632,风声
03172156,8.5,1996,柏林谍影
03175259,8.4,2082,锅匠，裁缝，士兵，间谍
01506842,8.5,1658,风起陇西
26389907,8.5,1427,柏林谍影
03113152,8.2,1827,伯恩的身份
03788397,8.5,1080,豺狼的日子
10591689,9.7,334,新世纪福音战士 10
10529093,9.6,346,新世纪福音战士 09
21683004,8.6,881,间谍课：豺狼的日子
22606931,8.3,1185,寒鸦行动
10529972,8.4,963,锅匠，裁缝，士兵，间谍
24527549,8.7,676,间谍课：复仇者
27120508,8.3,972,寒鸦行动
26606366,7.8,1808,布达佩斯往事
30181683,8.5,726,同情者
03662542,8.7,577,史迈利的人马
26813101,7.7,1801,暗杀大师10：寻找伦勃朗
26365969,8.2,785,风声
24884200,8.8,416,间谍课：上帝的拳头
25703706,8.0,975,风暴岛
01903698,9.4,230,中午的黑暗
26264150,7.7,1315,甜牙
11639553,7.7,1148,代号D机关Ⅰ
30380274,8.5,431,间谍先生：豺狼的日子
03266351,8.4,452,人性的因素
01889166,9.1,231,我的反间谍生涯
04173398,7.8,868,无辜者
25763658,8.3,479,德国式英雄
26869266,7.6,1040,三国谍影：暗战定军山
04164030,8.1,555,野兽花园
27169988,8.1,549,三国谍影2：雾锁荆州
27120505,7.8,760,针眼
26577706,7.6,939,档案
11639557,7.7,775,代号D机关Ⅱ
04908881,8.1,472,一支出卖的枪
21241226,8.3,367,活着再见2
01040251,7.9,563,三十九级台阶
02282516,7.3,1208,密码
01534948,9.0,183,隐面人
26667196,8.8,211,奥斯维辛集中营的志愿者
21328036,7.5,826,逃离德黑兰
25769529,8.2,355,间谍课：阿富汗人
30221708,8.1,366,三国谍影3
25834870,7.9,441,间谍课：万无一失的杀手
03393154,7.5,705,暗算
30412291,8.2,309,三国谍影4：江东杀机
04149705,8.0,361,一触即发
25841340,7.9,400,间谍课：最精妙的骗局
30271792,7.9,390,风声
01801430,8.5,213,我的情报与外交生涯
04811934,7.5,580,三十九级台阶
30165020,8.4,219,暗杀大师2：英国刺客
26656451,7.4,640,伪装者
03510278,7.5,536,独角兽谋杀案
26274411,7.1,908,突然亡命天涯
30380272,9.0,123,间谍先生:复仇者
02235852,8.3,218,克里姆林宫的枢机主教
03865993,6.9,1186,怪钟
26861447,7.3,643,暗杀大师：死亡信使
01826176,8.5,176,春天的十七个瞬间
30177380,7.5,482,特工训练手册
06773608,8.1,237,德国小镇
03820458,8.9,117,Tinker Tailor Soldier Spy
25798756,6.9,1008,麻雀
01506425,7.6,371,绿袖子·鹤止步
25217059,8.2,199,敖德萨档案
01452526,8.8,117,The Bourne Identity
26388269,8.3,171,史迈利的告别
26325343,7.3,499,代号D机关Ⅲ
01507984,8.1,203,了解女人
34950617,9.0,97,SPYxFAMILY：間諜家家酒（01）
01083212,8.9,102,万能钥匙
02364996,7.5,371,间谍王
02154048,9.1,87,诺言
26431160,8.6,121,The Sympathizer
10435423,8.4,142,我的反间谍生涯
06523144,7.8,236,谭纳的十二体操金钗
03662544,7.2,471,荣誉学生
26943412,8.7,105,齐默尔曼电报
30400062,8.7,105,间谍先生：上帝的拳头
30165021,7.4,351,暗杀大师1：暗杀艺术家
30163874,8.2,154,暗杀大师4：维也纳死亡事件
27120509,7.4,348,大黄蜂奇航
27197825,7.3,389,燃烧的密码
01156993,9.3,67,维诺那计划
04918257,6.3,1836,风语
20503355,8.7,99,密码故事
01083210,8.4,125,风暴突击者
30463116,8.1,158,鸽子隧道
27592902,7.5,283,致命谎言
26899716,7.5,281,上海之死
01030765,8.4,117,偶像
26284410,7.5,275,我们在哈瓦那的人
25896883,7.6,245,无处可藏
06039257,8.3,124,猎杀“红十月”号
06963583,7.9,176,D机关Ⅰ：Joker Game
25846881,7.8,187,无路可退的战士
01159984,7.7,199,我不得不杀人
01920402,9.0,69,世界间谍故事100篇
01842329,8.3,115,冷战谍魂
05336226,7.7,194,完美的间谍
30165017,7.9,157,暗杀大师3：忏悔者
01066980,8.2,120,隐蔽战
01442043,8.5,94,寒风孤谍
30312507,9.7,44,The Spy and the Traitor
02038007,9.2,58,受冷漠的人
24847103,7.5,229,召唤死者
03765363,7.3,287,永恒的园丁
34795014,8.7,79,SPY×FAMILY 2
26281726,7.8,165,人性的因素
30395692,7.1,339,像间谍一样观察
30380275,8.3,101,间谍先生：黑色宣言
04160479,7.2,289,密使
02294782,8.8,65,71号街幽灵
30280603,7.5,185,作家、水手、士兵、间谍
26756795,8.6,72,国土安全：索尔的游戏
03930084,8.6,70,舒伦堡回忆录
07056700,7.4,192,三十九级台阶
03321615,7.6,155,无法企及
05383659,7.8,122,军统第一杀手回忆录1
10581681,8.1,94,D機關Ⅱ：Double Joker
03048907,8.6,62,谍海搏杀-舒伦堡回忆录
06092608,8.6,62,金贤姬自传
26994137,7.3,183,间谍王:戴笠与中国特工(增订版)
26852835,7.5,148,柏林孤谍
30212811,8.0,93,夜班经理
06804440,8.9,49,Tinker Tailor Soldier Spy
25712737,6.7,371,唐朝诡事录
07055212,6.3,685,刀尖：刀之阴面
30380273,8.2,77,间谍先生：万无一失的杀手
30376646,8.7,54,海明威与骗子工厂
26873783,7.6,124,仇敌
01276269,8.3,67,历届克格勃主席的命运
27615224,7.1,200,戴笠
30380276,8.2,71,间谍先生：最精妙的骗局
06973270,7.6,116,活在自己的谎言里
01083058,7.2,164,间谍王
33428827,8.0,77,间谍先生·暗杀名单
25853867,7.4,130,斯诺登档案
26148591,7.7,98,国土安全：卡丽快跑
06424612,7.0,189,谭纳的非常泰冒险
02297010,8.8,42,麦格雷警长的圣诞节
03262646,8.4,53,谍海孤舟
24881104,6.3,474,像间谍一样思考
06039263,8.2,59,克里姆林宫的枢机主教
26284917,8.4,51,无法企及
01012873,7.9,72,阿尔法卫星上的家族
26282002,7.3,119,密使
06524102,8.1,60,无声的战争
04013573,8.7,40,冰岛迷雾
06039204,8.2,55,燃眉追击
04322083,8.4,48,Son of Hamas
06386365,7.1,136,军情六处
33420977,7.8,71,间谍先生：阿富汗人
26709125,8.9,34,情报的兴衰
24732855,7.6,81,反恐暗战2：卡扎菲的军火商
04290456,7.9,63,火线特工
06520422,7.8,68,彩虹六号（上、下）
04214785,7.2,116,我的FBI生涯
06039256,7.5,87,爱国者游戏
03786896,7.8,67,暗算
26284411,7.0,141,恐怖部
26351080,6.9,149,识男手册
02255901,7.2,104,特工人生“深喉”回忆录
01356681,8.9,30,冷戰諜魂
06560992,8.9,30,Tinker
26721110,8.7,33,朝聖者
01806604,8.1,47,狂花凋落
01764127,7.9,54,克里姆林宫的红衣主教
01228744,7.8,58,我在黑手党的秘密生涯
06038873,8.6,34,惊天核网（上、下）
25904944,8.7,31,A Spy Among Friends
03030723,7.7,58,国民党特务活动史
01255621,8.2,40,人性的因素
01843931,8.0,45,神秘朝圣者
26134213,8.2,39,冷间谍
26826586,9.1,23,神秘日志·谍影迷踪
01573700,7.9,46,They Came to Baghdad
21966326,7.5,62,国家威胁
26166826,7.5,62,背叛指南
26613940,6.8,120,伊斯坦布尔逃亡
35039412,9.0,23,SPY×FAMILY：間諜家家酒（02）
26857396,7.9,43,情报的艺术
03161574,6.9,99,女王勋章
26370029,8.8,24,海因里希·希姆莱与妻书信集
02230873,6.6,132,北京悠悠馆
03293853,8.7,25,孤胆勇士
30286920,7.5,54,间谍之死
21235158,7.4,58,光之帝国
35043360,9.0,21,SPYxFAMILY：間諜家家酒（03）
25817996,7.5,50,抵抗全敌
02311092,7.9,37,功勋
01089365,7.2,63,抓间谍者
34893667,7.4,53,代号D机关 Ⅳ
01734927,7.0,72,007前传·银鳍
01841235,7.7,40,Eye of the Needle
04913276,7.4,49,斩首
02154070,8.5,24,神秘的第三者
25957451,8.0,32,日本在华的间谍活动
02285187,8.2,28,满铁调查部内幕
10582185,7.7,38,美国黑室
26308185,7.3,51,西方情报机构与苏联解体
30230090,8.1,29,暗黑之门
30223282,9.0,18,暗杀大师系列
02295132,8.4,24,秘密纵队
25805746,7.3,49,与敌共眠
02362095,8.3,24,抓间谍的人
30267177,8.6,20,密码破译师
03287488,7.3,45,我的丈夫金无怠之死
01907397,7.2,48,苏联秘密警察
01311550,7.9,29,终极间谍
03842501,8.9,17,Our Man in Havana
06813289,7.2,47,中国黑室
01276546,7.8,30,间谍首脑备忘录
30361925,9.5,13,间谍与密战
02115693,7.3,42,三十九级台阶
26436058,8.9,16,The Billion Dollar Spy
26808764,7.2,43,微妙的真相
01452531,7.6,31,The Bourne Supremacy
25880415,7.1,45,D機關Ⅲ：Paradise lost
02367843,7.5,33,克格勃
30282655,7.8,27,美国情报界
04713684,7.1,44,FBI美国联邦调查局
25833258,7.8,26,摩萨德
34778155,7.0,46,窥视中国
02115687,6.5,73,俄罗斯之爱
01356738,8.3,19,永遠的園丁
10762785,8.5,17,两个美国间谍的自述
01575978,6.8,51,Thirty-Nine Steps
26348617,6.9,46,红雀
04272486,8.0,21,柏林间谍战
02277144,7.9,22,Opium Tea
02377872,7.8,23,蝴蝶梦之谜
25820202,8.6,15,克格勃内幕
01328312,7.4,28,窥伺中国
26658789,6.6,53,间谍
26991889,8.3,16,A Legacy of Spies
26589033,8.4,15,近代日本对华军事谍报体系研究（1868-1937）
10572920,7.4,26,军统第一杀手回忆录3
02325886,9.4,10,中央情报局与情报崇拜
02126693,7.7,21,永无宁日
03565252,7.7,21,信使
21347634,6.7,43,红兔
03155774,6.5,51,007谍海系列：皇家赌场+终极武器
06561213,9.3,10,Smiley&#39;s People
02360703,8.8,12,四国间谍战
03537365,7.4,24,克格勃内幕
03678182,8.4,14,间谍—左尔格
02221068,7.0,31,双面的克里斯蒂娜
34802968,7.0,31,杀人执照
02115686,6.3,58,神秘金手指
05338206,6.2,64,KGB克格勃全传
02979293,7.1,28,七十六号
01264099,7.8,18,英伦女谍
04621058,7.3,24,以色列特工全传
03194254,8.0,16,堕落
02310476,8.1,15,Our Man in Havana (Penguin Classics)
02227743,8.6,12,The Cuckoo&#39;s Egg
30259715,6.5,44,刀尖1
06776636,6.9,31,沙岸之谜
25887953,6.9,31,上帝的间谍
10578039,8.2,14,諜影行動
06539588,6.8,33,可以暴烈 可以温柔
01603845,7.5,20,克格勃绝密档案(上下册)
04846528,7.4,21,苏联谍报70年
26669770,8.0,15,间谍大百科
26948851,8.0,15,此生如鴿
06744660,6.9,29,三十九级台阶
01026376,6.7,33,李克农传
26902864,8.2,13,间谍术：中情局间谍技术秘史
05992709,6.5,38,窥视中国
06100961,7.2,22,公平游戏
04262683,6.4,41,CIA美国中央情报局全传
20471510,7.6,17,日本的间谍
02310981,7.3,20,梅达格胡同
06039202,6.6,33,虎牙
04262684,6.9,26,德国特工全传
02307962,7.7,15,谍报魔法师
04262643,7.1,21,英国特工全传
03002744,6.8,25,情死荒漠
02274568,6.9,23,埃德加的诅咒
04743185,8.2,11,Psychology of Intelligence Analysis
24762043,8.0,12,An Officer and a Spy
03113344,7.2,18,优质杀手
01357248,7.5,15,榮譽學生
07174798,7.6,14,代号&#34;锯齿&#34;
02156269,7.9,12,纳粹帝国的兴亡·帝国梦
04014466,6.9,21,007全集（4）
02726001,8.3,10,The Spy Who Came in From the Cold
07061001,6.5,28,谍海之花
11621066,7.1,18,军情五处与军情六处
04105901,7.4,15,皇家赌场显身手
03927840,6.9,20,深潜伏
20492665,7.1,17,大交涉
27601908,7.2,16,金手指（007小说系列）
23010223,7.3,15,军统特务实录
34786333,7.3,15,海狼
26370014,6.7,21,好莱坞内部的中情局
04817763,6.5,24,NSA美国国家安全局全传
02084470,8.0,10,背叛之风
03874175,7.1,15,十大红色特工
10592062,7.5,12,Call for the Dead
01232962,7.6,11,秘密机构
02182936,6.4,23,恐慌
06426167,7.0,15,四大特务档案
27592911,7.0,15,数据与监控
06059326,7.5,11,The Prague Cemetery
04014464,6.6,18,007全集（2）
10343124,6.7,16,世界获奖间谍小说选
03271894,7.0,13,来自俄国的爱情
06885355,6.8,14,一个德国间谍的供词
26770912,6.6,15,俄罗斯之爱
26320844,6.2,20,高尔基公园
03318725,7.3,10,秘密战五百年
25834808,6.4,17,中国国民党大陆工作组织研究：1950～1990
04897314,6.9,12,我所知道的汪伪特工内幕
01192859,6.7,13,个人档案
33438340,6.5,14,暗夜中的眼睛
04014465,6.3,16,007全集（3）
01279499,7.0,10,苏联对外情报机关的悲剧
10726286,6.3,15,冷月无声
02108232,6.6,12,谍报密码
04872382,6.1,13,联邦调查局
04109210,5.9,15,卧底
01683915,6.4,10,红色国际特工
06798454,6.4,10,世界间谍史
04704009,5.9,13,监狱警察
03697918,5.2,24,暗战千年
30339501,6.0,11,另类间谍
26640304,5.8,10,暗瞳
03343721,5.2,14,国家机密
01201154,0.0,10,美国特工
04125010,0.0,10,间谍的招募与培训
06522693,0.0,10,间谍电影
19941945,0.0,10,以色列摩萨德档案
26286136,0.0,10,乔治·华盛顿的秘密六人组
26958636,0.0,10,終結冷戰
03114073,0.0,11,国际谋杀案
03695829,0.0,11,杀人特许证
26264180,0.0,11,间谍学校
26780348,0.0,11,The Sympathizer
01288515,0.0,12,克格勃特工记者札记
01492822,0.0,12,世界头号间谍
02232982,0.0,13,细胞分裂 双重间谍
01757463,0.0,15,血手染红岩
