ID,Rating,Votes,Title
25829693,9.0,23609,永恒的终结
01258490,9.2,13205,基地
07065521,9.0,10804,银河帝国：基地
01258489,9.3,6586,第二基地
03344676,8.1,42994,常识
26389895,9.5,5074,银河帝国：基地七部曲
04074636,7.6,121333,放学后
01258491,9.2,6696,基地与帝国
10604915,9.2,6278,银河帝国3：第二基地
01140727,8.7,10881,安德的游戏
26264967,8.4,17194,神们自己
07065529,9.0,6576,银河帝国2：基地与帝国
11525217,9.1,4472,银河帝国4：基地前奏
11528306,9.1,3948,银河帝国5：迈向基地
11528307,9.0,3876,银河帝国6：基地边缘
10439064,8.9,4011,发现之旅
25737822,9.3,2349,银河帝国12：机器人与帝国
20390695,9.0,2983,银河帝国8：我，机器人
01258487,8.9,3270,基地前传1·基地前奏（上下）
01258488,9.0,2735,基地前传2·迈向基地（上下）
24882289,9.1,2256,机器人短篇全集
24531360,8.9,2534,银河帝国11：曙光中的机器人
11528308,8.6,3594,银河帝国7：基地与地球
26389897,9.6,1118,银河帝国：机器人五部曲
01499186,9.4,1360,MONSTER-怪物-18
24531334,8.8,2680,银河帝国10：裸阳
20390696,8.7,3035,银河帝国9：钢穴
02143016,9.1,1814,我，机器人
01258486,8.8,2580,基地续集2·基地与地球（上下）
01140726,8.3,4228,计算中的上帝
04834737,9.4,1096,最後的問題 : 西方短篇科幻小說精選
26389900,8.8,2052,银河帝国 ：基地
01391510,9.2,1198,机器人短篇全集（上下）
26389894,9.3,1050,银河帝国3 ：第二基地
01391513,8.9,1245,机器人与帝国（上下）
26389896,9.0,1056,银河帝国2：基地与帝国
26389893,9.2,778,银河帝国 4：基地前奏
04231732,9.1,832,历史研究（上下卷）
26389901,9.0,832,银河帝国5：迈向基地
01391511,8.7,1087,曙光中的机器人（上下）
01417484,8.4,1167,恐龙文明三部曲
26794065,9.0,579,我，机器人
26389899,8.7,671,银河帝国6 ：基地边缘
22542737,8.1,1346,银河帝国15：苍穹一粟
26389898,8.7,662,银河帝国：帝国三部曲
25816893,8.2,1124,微宇宙的上帝
01370078,9.2,371,Foundation
01016827,9.1,402,阿西莫夫最新科学指南（上下册）
03654016,9.0,388,永远讲不完的故事
26389902,8.5,618,银河帝国7 ：基地与地球
22542730,7.8,1370,银河帝国14：星空暗流
01754788,8.0,825,星空暗流
22542725,7.5,1584,银河帝国13：繁星若尘
03931106,8.9,276,宇宙秘密：阿西莫夫谈科学
10560806,8.9,270,迷雾之子3·永世英雄（上下册）
03805978,9.4,169,The Last Question (When the World Ends)
01357601,9.3,179,基地與帝國
04270905,9.0,223,人生舞台
01378391,9.1,155,Second Foundation
01363031,8.9,177,Foundation and Empire
03117792,8.4,258,鐵鼠之檻（上）
01337013,9.3,122,第二基地
06966769,10.0,67,基地(紀念書衣版)
02080273,8.9,124,你知道吗——现代科学中的一百个问题
33479225,8.0,251,星河战队
20501529,8.4,167,低能儿收容所
04934765,8.6,135,复仇女神
01457721,8.9,96,Prelude to Foundation
04122385,8.4,141,不羁的思绪
01466071,9.1,80,The End of Eternity
