ID,Rating,Votes,Title
10554308,9.1,272283,白夜行
27614904,9.2,192617,房思琪的初恋乐园
01089243,8.9,124076,黄金时代
01254588,9.0,100392,城南旧事
01474773,9.5,38594,海贼王
01221515,9.5,28455,灌篮高手31
01046265,8.0,317939,挪威的森林
01080370,8.6,86195,情书
10517238,9.0,42316,平凡的世界
02159042,8.5,101249,挪威的森林
01066462,8.4,103238,向左走·向右走
26602392,8.6,69768,你今天真好看
24754316,8.7,56076,最好的我们
01082406,8.9,38696,黄金时代
01003000,8.3,112847,悟空传
26878124,8.5,58249,我的天才女友
02136140,8.7,40393,雨季不再来
01474842,9.1,17585,NANA（1-13）
01052990,9.0,20407,草房子
01321017,8.8,27834,九州·缥缈录
03014576,8.3,64402,陪安东尼度过漫长岁月
01291809,8.6,37093,世界尽头与冷酷仙境
03665874,9.0,19299,星空
01421921,8.9,22187,幽游白书（全19册）
03803820,8.4,51382,人生
01059419,8.1,90763,海边的卡夫卡
05275059,7.9,138113,1988：我想和这个世界谈谈
04714734,8.3,60224,这些都是你给我的爱
24380577,9.1,15740,平凡的世界
04231381,8.4,48888,那些回不去的年少时光
01020459,8.4,46999,此间的少年
26414020,8.0,95860,我不喜欢这世界，我只喜欢你
01529893,8.0,90411,莲花
01461903,7.8,138123,何以笙箫默
03578470,9.0,15420,德米安
30336340,8.7,23733,撒野
03879301,7.9,95238,微微一笑很倾城
02053249,8.1,62230,麦田里的守望者
02158189,8.5,28643,海边的卡夫卡
02025999,9.8,4547,灌篮高手（全31卷）
01005521,8.2,46593,伊豆的舞女
04732378,8.7,19513,那些回不去的年少时光·终场
01015452,8.3,34934,国境以南 太阳以西
26210487,9.0,11138,强风吹拂
02209098,7.8,90010,致我们终将逝去的青春
01418297,9.2,8258,蜂蜜與四葉草 1
02567919,8.2,39777,匆匆那年（上下）
01958227,8.2,39113,那些年，我们一起追的女孩
28659562,8.8,14043,夏日终曲
04874131,8.1,44955,东霓
01963310,8.2,36978,大地之灯
01082138,8.4,25748,在细雨中呼喊
04074636,7.6,121333,放学后
25733470,8.2,35177,没有色彩的多崎作和他的巡礼之年
01143694,8.3,28703,动物凶猛
01082518,7.9,59969,麦田里的守望者
01020670,8.3,27954,舞！舞！舞！
03662001,8.8,11899,情书
