ID,Rating,Votes,Title
01084336,9.0,576802,小王子
03259440,9.1,460323,白夜行
01770782,8.9,647973,追风筝的人
06082808,9.2,294599,百年孤独
10554308,9.1,272283,白夜行
01008145,8.9,372574,围城
02567698,8.8,375331,三体
25862578,8.5,642260,解忧杂货店
01054685,9.1,100741,沉默的大多数
01089243,8.9,124076,黄金时代
03995526,8.6,185215,目送
01141406,8.5,186828,简爱（英文全本）
03646172,8.4,195291,恶意
01085799,8.7,102797,白鹿原
04117922,9.0,46247,嫌疑人X的献身
06388661,8.8,56135,这些人，那些事
05299764,9.4,20464,1984
04207781,8.7,62357,孩子你慢慢来
01855364,9.2,23986,围城
01818347,8.7,36085,尼罗河上的惨案
05275059,7.9,138113,1988：我想和这个世界谈谈
04231381,8.4,48888,那些回不去的年少时光
03719533,9.4,9787,经济学原理
01529893,8.0,90411,莲花
01461903,7.8,138123,何以笙箫默
03311253,9.0,12979,额尔古纳河右岸
01919201,8.4,32757,七夜雪
01225977,8.9,12731,全球通史（第7版 上册）
20392523,8.5,22950,没有人给他写信的上校
04874131,8.1,44956,东霓
01963310,8.2,36978,大地之灯
03344676,8.1,42994,常识
03537590,8.4,20146,朗读者
03697494,9.1,6559,洞穴奇案
26278687,7.6,86059,皮囊
01794620,7.8,48450,芒果街上的小屋
04618225,8.2,21767,不去会死！
01917972,7.8,45238,在路上
01026425,7.4,108287,三重门
05333562,9.7,2546,深入理解计算机系统（原书第2版）
03860856,8.1,22175,可爱的洪水猛兽
01049219,7.4,81905,长安乱
03432304,8.9,5314,大江东去（共三部）
01851385,7.9,25135,我的名字叫红
03394338,7.5,55640,他的国
04313207,8.4,10341,致D
04580972,7.7,34609,流星之绊
01227838,7.6,41229,年华是无效信
10549863,8.6,6961,光明与磊落
01453210,7.4,59056,一座城池
01049189,7.3,73925,1995-2005夏至未至
03223711,8.1,14880,怪诞行为学
06902639,7.8,24876,青春
05290564,8.3,9918,青春
05292912,8.0,16163,1988：我想和这个世界谈谈
01803641,8.9,4036,小公主
03069729,8.2,10837,碧甃沉
03009033,7.8,21727,杂的文
01089398,8.8,4402,西方哲学史（下卷）
03391246,8.2,10494,潮骚
01109968,8.7,4706,英雄志（全三册）
05401989,8.0,13280,自由在高处
25747921,7.0,106914,从你的全世界路过
01059406,7.0,101838,幻城
01948502,7.7,20593,1995-2005夏至未至
03506871,7.5,30452,曾有一个人，爱我如生命
20425053,7.6,24204,我所理解的生活
04872222,8.3,6788,当我谈跑步时，我谈些什么
01063245,7.6,22607,通稿2003
01009160,7.3,40046,像少年啦飞驰
04818929,7.6,19506,夏至未至
03176760,8.4,4925,革命时期的爱情
01871471,7.8,12121,一座城池
01499186,9.4,1360,MONSTER-怪物-18
04718973,7.8,11664,毒笑小说
01034108,7.2,38502,零下一度
04115227,7.4,23914,岁月是朵两生花
03266968,7.2,33362,秘密
03608170,8.0,7261,我想吃一个小孩
04881998,8.4,3964,猜火车
01914078,7.6,13705,三重门
10601137,7.6,12828,你永远都无法叫醒一个装睡的人
04741216,7.3,23095,我的奋斗
01078809,8.0,6309,三重门
02340610,8.8,2069,2010太空漫游
01949925,8.1,5348,沉落的黄昏
01822793,7.6,11143,长安乱
01087758,7.3,19657,花季雨季
03149443,8.4,3106,兄弟
03279284,7.7,9154,像少年啦飞驰
03033668,7.8,7621,闪开，让我歌唱八十年代
04766047,7.8,7301,祸国
01949105,9.1,1262,柴王(06)
03759806,8.3,3350,西藏一年
06800500,7.5,10952,南音 （下）
01440992,8.3,2981,一天
06844341,7.6,8506,牡蛎男孩忧郁之死
03295326,7.8,5910,回眸
01914083,7.6,8131,像少年啦飞驰
02032666,7.6,7936,零下一度
03727329,7.1,20567,千山暮雪
01433700,7.4,10072,孔雀森林
02133556,6.9,28663,光荣日（第一季）
01212152,7.8,4697,萤
01440101,7.2,13441,就这么漂来漂去
01088472,8.1,2912,首届全国新概念作文大赛获奖作品选（全二册）
03191328,6.5,69882,小时代1.0折纸时代
01046385,7.1,15889,毒
06794016,7.5,6892,如何成为一个怪物
24876477,7.2,11901,很高兴见到你
01823058,8.3,1991,关于他人的痛苦
06902245,8.8,1077,明朝那些事儿·第3部
06847760,7.2,11484,随遇而安
03666600,7.5,6476,光荣日 第一季
04191594,7.3,8960,绑架游戏
03279233,7.7,4296,一座城池
03770726,7.6,4546,草
03279242,7.5,5202,三重门
05406558,8.3,1579,到灯塔去
02062200,6.2,100681,悲伤逆流成河
26684198,8.4,1329,一品芝麻狐
04920037,6.9,14304,临界·爵迹 I
01082196,8.8,735,林村的故事
06313528,8.4,1141,了不起的盖茨比
26647727,7.7,2821,手机里的男朋友
06864391,8.4,1059,触动人心
01891221,9.2,442,金瓶梅词话（全六册）
04038164,6.3,42160,小时代2.0虚铜时代
25798977,7.2,5135,去你家玩好吗
01279659,8.3,1008,组织行为学
01882547,7.4,3408,寒·十八禁
20502695,7.6,2412,我所理解的生活
05300108,8.1,1176,尾巴
24851617,7.6,2214,1988：我想和这个世界谈谈
04912669,7.4,2928,忧伤的老板
05355305,7.8,1596,可爱的洪水猛兽
25982794,7.1,4873,世界上所有童话都是写给大人看的
04244319,7.7,1787,他的国
24754123,7.0,5592,所有人问所有人
03078848,7.7,1671,紫极舞
25910582,8.1,979,成长
01007559,7.6,1906,三重门・韩寒 
03279291,8.4,683,五年文集（上下）
05918501,7.5,2075,他的国
03272415,7.4,2398,白色猎人
05355303,7.5,2001,杂的文
01484597,7.5,1980,毒2
25850737,7.1,3646,想得美
06827367,8.0,927,卑鄙的圣人：曹操.第3部
04582325,7.5,1766,窥视欧洲
02030664,6.8,5744,我的千岁寒
03279275,7.5,1651,零下一度
06890201,7.1,3094,我知道你不知道的自己在想什么
24883513,6.7,6413,猫力乱步
02034673,9.9,144,农村中学毕业生进城务工指南
06129534,7.8,1031,不曾苟且
06802856,7.6,1275,山月不知心底事
03279254,7.7,884,毒2
06894467,7.2,1797,血腥的盛唐
04733971,7.5,1135,长安乱
25786283,6.6,5157,女王乔安
01492553,8.6,287,西潮与新潮
11528562,7.5,985,给理想一点时间Ⅱ
25933442,6.8,3022,不散的宴席
27069751,8.3,367,建筑，从那一天开始
04737015,6.6,4174,30年后，你拿什么养活自己？
25931540,6.5,5124,告白与告别
03212644,7.3,1229,蓝血人
07067774,7.8,609,青春
01783517,7.6,765,小镇生活
21318055,7.3,1148,通稿二零零三
01861312,7.9,480,冰山在融化
04262114,6.6,3282,女人这东西
04906157,7.3,888,三重门
26359009,6.5,3409,和喜欢的一切在一起
05355304,7.3,846,草
05299765,8.1,306,最后的孩子
23160441,8.0,338,呼唤洁净的世界
04187788,7.2,843,第一本哲学漫画书
02632205,8.4,206,1988
04151109,7.5,520,最后的家庭
26177823,6.4,2992,在这复杂世界里
05035921,7.3,618,像少年啦飞驰
03188266,7.6,399,终身操盘（下）
06784039,5.7,13528,你若安好便是晴天
04054913,7.3,537,光榮日
25896179,7.0,792,三重门
26951532,6.9,865,乘风破浪
26288287,6.8,988,杀手的礼物
20281838,7.4,379,长安乱
03176268,6.2,2599,七喜
10539129,7.9,209,人生本来如寄
25941125,7.4,355,他的国
06428909,8.3,142,狐狸土
26276701,6.7,927,南极姑娘
02382334,7.6,268,不想恋爱
01034820,8.1,154,全国新概念作文大赛获奖作品精选
06952711,8.3,129,生命之光
25941372,7.6,243,1988：我想和这个世界谈谈
01618453,9.0,73,中国国家地理
04930738,6.9,541,卷卷就能瘦！
04197206,8.0,152,Pussy Portraits
03026745,7.6,219,10年新概念
24722682,7.3,296,长安乱
26599193,6.2,1561,我们从未陌生过
01341827,8.0,140,三重門
10433836,7.3,285,十人
03810938,7.6,201,长安乱
05275558,7.5,200,杯中窥人
10493971,8.4,88,敏感詞
01756267,7.7,157,左一刀，右一刀（全二册）
26161176,7.6,173,可爱的洪水猛兽
24522043,7.3,238,我所理解的生活
10539157,7.5,191,不如就上商学院
01690498,6.8,447,一起沉默
30136844,8.6,73,1988：我想和这个世界谈谈
26161205,8.4,83,青春
20281840,7.2,251,他的国
26284829,6.5,659,你有没有见过他
25939429,7.5,175,零下一度
05327958,8.0,107,张参谋长那点事儿
25979789,7.3,209,杂的文
20452409,7.1,262,可爱的洪水猛兽
