ID,Rating,Votes,Title
21979017,9.5,3787,魔戒
26297606,7.5,24550,从0到1
26759508,8.1,7794,硅谷钢铁侠
10875954,9.2,1435,魔戒
30262617,8.3,1606,生命3.0
33401129,8.5,360,投资最重要的事
26306618,9.1,206,爱因斯坦传（精装珍藏版）
03730957,9.1,201,爱因斯坦
30355229,8.0,238,下一站 火星：马斯克、贝佐斯和太空争夺战
04808410,9.3,47,Einstein
25943598,7.1,272,埃隆·马斯克传
01365773,7.9,63,Benjamin Franklin
35097551,7.3,103,人生由我
25924605,6.1,431,特斯拉之父
25945179,7.6,63,Superintelligence
26384633,7.3,49,新技术的胜算
30293898,8.4,17,硅谷简史：通往人工智能之路
02646792,8.6,15,Structures
25957990,6.6,54,这个星球不配我死
34787002,5.1,29,特斯拉模式：从丰田主义到特斯拉主义，埃隆 · 马斯克的工业颠覆
