ID,Rating,Votes,Title
01948901,8.3,160116,盗墓笔记
04188697,9.0,24791,子不语 1-2
05916880,8.4,68098,华胥引（全二册）
01937357,9.4,6990,萤火之森
03426869,7.8,80131,三生三世 十里桃花
01452610,9.2,6664,蟲師 (1)  アフタヌーンKC (255)
01465324,7.7,67780,洛丽塔
02043313,9.2,5389,妖怪連絡簿 1
01926103,8.0,34243,鬼吹灯之云南虫谷
01098643,8.8,7130,聊斋志异
04038672,8.9,6155,络新妇之理（上）
03162513,8.4,12452,魍魉之匣（上）
01220219,8.6,9036,阴阳师
01442680,8.7,7312,伊藤潤二恐怖漫畫精選【1】
06249670,8.8,5792,首无·作祟之物
01269182,8.7,5665,叫魂
01036397,9.1,3321,全本新注聊斋志异（全三册）
03715833,8.6,5632,铁鼠之槛（上）
02340300,7.9,14498,鬼吹灯Ⅱ之三·怒晴湘西
06974102,7.6,25388,盗墓笔记8·大结局（下）
05446490,8.8,3544,宇宙奇趣全集
01400048,8.5,5253,搜神记Ⅰ-神农使者
03091122,9.1,2278,百鬼夜行抄1 [東立]
05993314,8.0,10666,安吉拉·卡特的精怪故事集
03292972,8.4,4672,艳鬼
27035382,8.1,6794,七根凶简
01947471,8.1,6513,蒼の封印 1
01221329,8.5,3537,阴阳师·飞天卷
01288939,8.7,2650,阴阳师·龙笛卷
02300010,8.5,3426,夜访吸血鬼
01389535,9.0,1784,百鬼夜行抄12
01262837,8.6,2846,阴阳师·凤凰卷
26578003,8.3,4054,无心法师 第一卷
03889682,8.4,3175,饕餮娘子
26889848,9.0,1447,山海经全译
03135034,8.4,2886,GANTZ殺戮都市(01)
02146674,8.3,3050,每夜一个骇故事
01878819,8.5,2268,蛮荒记1·鲲鹏
01924373,8.6,1899,哇!今夜哪里有鬼!
02143487,8.0,4311,茅山后裔1
25808738,8.9,1313,阴阳师典藏合集
03330173,8.7,1581,蛮荒记Ⅵ·刹那芳华
02072259,8.8,1344,華札
02037409,8.7,1438,噢!今夜哪里有鬼
02118293,9.3,715,鳥山石燕 画図百鬼夜行全画集
26712106,8.1,2866,开封志怪（全三册）
01052803,9.1,857,聊斋志异
10574335,8.4,1858,妖绘卷
03330170,8.6,1349,蛮荒记Ⅴ·九鼎
03042924,8.1,2463,茅山后裔4
01449418,9.3,566,铸雪斋抄本聊斋志异（上下）
05363651,7.5,5492,浮生物语
03335785,8.7,1010,蛮荒记Ⅱ·青帝
01342664,8.7,1009,陰陽師
26849245,8.6,1093,子不语
25768277,7.9,2507,苗疆蛊事1
25887972,8.1,1893,怪谈·奇谭
02288853,7.9,2447,茅山后裔2
02049866,9.0,631,山海经校注
04836601,8.4,1173,扪虱谈鬼录
03335787,8.6,882,蛮荒记Ⅲ·蜃楼志
03787195,7.5,3810,黑暗坡食人树
02147001,8.8,685,陰陽師：生成姬
03245137,8.1,1536,每晚一个离奇故事4
03418469,7.6,3092,怪谈
11520765,9.1,496,酉阳杂俎
27192147,9.1,487,鬼滅之刃 8
03071759,8.0,1617,百物语
03253866,7.9,1807,想象中的动物
21370565,7.6,2750,凶宅笔记
01982553,9.1,446,古本山海经图说（上下）
30394127,9.1,421,鬼滅之刃 10
01343004,8.8,549,陰陽師：付喪神卷 
01949466,9.6,263,聊齋志異會校會注會評本（全四冊）
27105444,9.0,439,鬼滅之刃 7
01343361,8.7,576,陰陽師：鳳凰卷 
03376908,8.2,1001,图解日本妖怪大全（上下）
26603434,7.8,1685,无心法师 第三卷
25790201,8.3,887,阴阳师·第一卷
27663155,8.9,467,鬼滅之刃 9
01434293,8.6,608,都市妖奇谈三
01463959,8.0,1207,断龙台
01349180,8.7,518,陰陽師：太極卷
01451520,7.5,2237,沙门空海之大唐鬼宴·卷之一·入唐
01344324,8.8,453,陰陽師：龍笛卷 
25815415,7.8,1411,后巷说百物语
